״̬,ACTION,,,,,,,,,,,,,,,GOTO,,,,,,,
,id,int,*,+,-,=,(,),Semicolon,IntConst,return,?,:,&,$,E,S,S_list,D,A,B,T,L
65,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,,reduce B -> ( E ),,,,,reduce B -> ( E ),,,,,,,,,
66,,,shift 47,reduce E -> E + A,reduce E -> E + A,,,reduce E -> E + A,,,,,,,,,,,,,,,
67,,,shift 47,reduce E -> E - A,reduce E -> E - A,,,reduce E -> E - A,,,,,,,,,,,,,,,
68,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,reduce A -> A * B,,,,,,,,,,,,,,,
69,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,reduce B -> ( E ),,,,,,,,,,,,,,,
70,shift 54,,,,,,shift 55,,,shift 56,,,,,,,,,,79,53,,
71,shift 54,,,,,,shift 55,,,shift 56,,,,,,,,,,80,53,,
72,shift 54,,,,,,shift 55,,,shift 56,,,,,,,,,,,81,,
73,,,,shift 44,shift 45,,,shift 82,,,,,,,,,,,,,,,
74,shift 61,,,,,,shift 62,,,shift 63,,,,,,,,,,83,60,,
75,shift 61,,,,,,shift 62,,,shift 63,,,,,,,,,,84,60,,
76,shift 13,,,,,,shift 14,,,shift 15,,,,,,85,,,,11,12,,
77,shift 61,,,,,,shift 62,,,shift 63,,,,,,,,,,,86,,
78,,,,shift 44,shift 45,,,shift 87,,,,,,,,,,,,,,,
79,,,shift 72,reduce E -> E + A,reduce E -> E + A,,,,,,,reduce E -> E + A,,reduce E -> E + A,,,,,,,,,
80,,,shift 72,reduce E -> E - A,reduce E -> E - A,,,,,,,reduce E -> E - A,,reduce E -> E - A,,,,,,,,,
81,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,,,,,reduce A -> A * B,,reduce A -> A * B,,,,,,,,,
82,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,,,,,reduce B -> ( E ),,reduce B -> ( E ),,,,,,,,,
83,,,shift 77,reduce E -> E + A,reduce E -> E + A,,,,,,,,reduce E -> E + A,,,,,,,,,,
84,,,shift 77,reduce E -> E - A,reduce E -> E - A,,,,,,,,reduce E -> E - A,,,,,,,,,,
85,,,,shift 25,shift 26,,,,reduce T -> L ? E : E,,,,,,,,,,,,,,
86,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,,,,,,reduce A -> A * B,,,,,,,,,,
87,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,,,,,,reduce B -> ( E ),,,,,,,,,,
